puntuacion_imdb,direccion,guion,argumento,genero,duracion,titulo,anio
5.0,Steven L. Austin,Josh Olson,"""Bill"" is a gung-ho advertising executive with too much power and too few people skills. We find him working on a campaign for a soothing vacation package, but his life is quite the opposite: a constant barrage of mobile phone calls, pages and faxes. One evening, as Bill wraps up the deal (while simultaneously listening to a CD, his answering machine messages, and wat... Leer todo",15,Comedia,a moment of silence,2000
-,Thomas Gill,Matt Jennings,"A young man named Milton has just received a package in the mail, but he can't see it because an annoying redneck named Mudd won't leave him alone.",-,Comedia,the package,2000
9.3,Philip Pucci,"['Chris Hume', 'Philip Pucci']",We follow a movie extra's performances in several films.,-,Comedia,the extra,2000
-,Daun Windover,Daun Windover,-,11,Comedia,in between,2000
7.7,David Tarleton,"['J. Ayscue', 'Emi Macuaga', 'David Tarleton']","Dinner is a fantasy short film about transplanted fairies and one man, Jack, who longs to be a part of their world. He has fallen in love with Jill, kin to the fairy world. She invites him to a feast to prove his worth to her cannibalistic family. Drama ensues in the mixing of these two cultures.",-,Comedia,dinner,2000
-,Eric Jeitner,-,-,27,Comedia,they walk among us,2000
7.7,Jennifer Phang,"['Jeff Kirschenbaum', 'Jennifer Phang']","When a gay asian brother and sister decide to ""come out"" at dinner on the very same night the unexpected happens.",24,Comedia,"love, ltd.",2000
-,Christian Rau,"['Jürgen Kura', 'Christian Rau']",-,15,Comedia,blutiger ernst,2000
6.2,Grant Barbeito,Grant Barbeito,A man prepares his suicide up to the point of perfection.,6,Comedia,ruben,2000
8.0,Jack Reda,Jack Reda,"God and Satan, both women, meddle in the lives of Harry and Tamara. God and her nerdy sidekick, the Cleric, are working to get and keep the young couple together. Satan and her slick Administrative Assistant are working to keep them apart.",-,Comedia,divine intervention,2000
6.6,Imogen Murphy,Imogen Murphy,"Marty is very short; but he's neither nasty nor brutish, he's a genuinely nice guy, rich in friends but solitary in the game of love. Women, as he says, are over his head; he's out of their picture. Then, he meets Alison, and on a hike up a fairly steep mountain, he shows his down-to-earth courtesy, and she notices his eyes. Life, like Marty, is short. Has he met his ... Leer todo",10,Comedia,short,2000
7.5,Taz Goldstein,"['Taz Goldstein', 'Robert Moniot']","After getting noticed by Miramax Pictures for his short film, a filmmaker has a moral dilemma when it comes up to facing the truth about the work he may (or may not) have made.",21,Comedia,the dancing cow,2000
6.4,Spike Brandt,"['Earl Kress', 'Kathleen Helppie-Shipley']","Baby Wile E. Coyote is told by his father, Cage E., that he's not to speak until he catches a roadrunner. Wile E. tries several products from Acme Jr., including a jack-in-the-box and a water-rocket-propelled bike. They maintain the fine tradition of Acme quality products.",8,Comedia,little go beep,2000
6.3,Daniel Giambruno,Daniel Giambruno,"A dark comedy about sex trading, mutilation and quiz shows.",19,Comedia,twitch,2000
8.1,Jimmy Zeilinger,Jimmy Zeilinger,"Alfie is the brother no one notices, and at his hot-shot brother Richard's wedding, Alfie's father insults him, his brother puts him down, he gets fired, and he falls off a second-story ledge to his death. He's in line to enter Heaven, when the Devil recruits him. The deal: go back to Earth, break all Ten Commandments in an hour, and get to join the big, eternal party... Leer todo",18,Comedia,damned if you do,2000
7.0,Jamie Goold,"['Jamie Goold', 'Johnny Vaughan']",A man with a hangover loses an important computer disk and blames his girlfriend.,9,Comedia,the rules of engagement,2000
-,Maria Brenner,Maria Brenner,-,-,Comedia,dressing the nelsons,2000
7.0,Fanny Jean-Noël,Fanny Jean-Noël,-,8,Comedia,somewhere else,2000
-,-,Jeff Picanso,-,-,Comedia,robot love,2000
-,Enda Hughes,Enda Hughes,"Silent movie classic Battleship Potemkin, re-imagined in the style of a video game.",3,Comedia,comm-raid on the potemkin,2000
7.2,David Burkman,David Burkman,-,-,Comedia,maggie moore,2000
8.1,Richard E. Doherty,-,"The story of Ed, a lonely man looking for love, and the 4-part harmonic chorus that terrorizes him.",14,Comedia,my chorus,2000
