,0,1,2,3,4
0,Pelicula,Istota,2000,-,tt0102362
1,Pelicula,For the Cause,2000,5,tt0113092
2,Pelicula,Florentino y el diablo,2000,4,tt0113086
3,Pelicula,Karobaar: The Business of Love,2000,9,tt0116748
4,Cortometraje,Chateaubriand - Cabeça de Paraíba,2000,12,tt0115874
5,Pelicula,Gang,2000,4,tt0116391
6,Pelicula,Consequence,2000,-,tt0115937
7,Pelicula,Fa yeung nin wah,2000,3,tt0118694
8,Pelicula,Beyond the Pale,2000,9,tt0118710
9,Pelicula,Chinese Coffee,2000,9,tt0118852
10,Pelicula,Passionnément,2000,5,tt0119866
11,Pelicula,Love 101,2000,2,tt0119495
12,Pelicula,Pushing the Envelope,2000,4,tt0119966
13,Pelicula,Way Past Cool,2000,-,tt0120485
14,Pelicula,State and Main,2000,7,tt0120202
15,Pelicula,Vulgar,2000,9,tt0120467
16,Pelicula,Bruno,2000,4,tt0123003
17,Pelicula,Lured Innocence,2000,2,tt0122161
18,Pelicula,Shikari,2000,10,tt0120117
19,Pelicula,Capitães de Abril,2000,4,tt0120626
20,Pelicula,Sånger från andra våningen,2000,9,tt0120263
21,Pelicula,The Million Dollar Hotel,2000,5,tt0120753
22,Pelicula,Chicken Run,2000,9,tt0120630
23,Pelicula,The Highwayman,2000,4,tt0120698
24,Pelicula,Foiled,2000,-,tt0120673
25,Pelicula,Return to Me,2000,6,tt0122459
26,Pelicula,Waking the Dead,2000,3,tt0127349
27,Pelicula,Flamingo Dreams,2000,-,tt0129095
28,Pelicula,Dinosaur,2000,6,tt0130623
29,Pelicula,Duets,2000,9,tt0134630
30,Pelicula,Fallen Arches,2000,1,tt0133752
31,Pelicula,Wind River,2000,6,tt0135707
32,Pelicula,Cement,2000,1,tt0138353
33,Pelicula,Waterproof,2000,8,tt0138927
34,Cortometraje,Nights,2000,3,tt0138655
35,Pelicula,Mothman,2000,-,tt0137115
36,Pelicula,The Yards,2000,6,tt0138946
37,Pelicula,The Hiding Place,2000,6,tt0138818
38,Pelicula,No Quarto da Vanda,2000,3,tt0139500
39,Pelicula,Isn't She Great,2000,1,tt0141399
40,Pelicula,Knockout,2000,2,tt0143344
41,Pelicula,Committed,2000,4,tt0144142
42,Pelicula,American Psycho,2000,9,tt0144084
43,Cortometraje,Caught,2000,8,tt0142155
44,Cortometraje,Smog,2000,3,tt0144613
45,Pelicula,Thirteen Days,2000,4,tt0146309
46,Pelicula,High Fidelity,2000,8,tt0146882
47,Pelicula,The Legend of Bagger Vance,2000,5,tt0146984
48,Pelicula,Looking for an Echo,2000,11,tt0148421
49,Pelicula,All the Pretty Horses,2000,12,tt0149624
50,Pelicula,Where the Money Is,2000,4,tt0149367
51,Pelicula,Josh,2000,6,tt0151150
52,Pelicula,The Thief & the Stripper,2000,10,tt0153012
53,Pelicula,Time of Her Time,2000,9,tt0153100
54,Pelicula,Up at the Villa,2000,4,tt0153464
55,Pelicula,A Good Baby,2000,12,tt0155723
56,Pelicula,Ricky 6,2000,4,tt0156020
57,Pelicula,I'll Remember April,2000,4,tt0155754
58,Pelicula,Secrets of a Chambermaid,2000,4,tt0155150
59,Pelicula,Yup Yup Man,2000,1,tt0157202
