,tipo,nombre,año estreno,mes estreno,id_pelicula
0,Cortometraje,The Secret of Wendel Samson,2005,,tt0207085
1,Cortometraje,Haunted,2005,,tt0287061
2,Cortometraje,The Last Illusion,2005,9,tt0294683
3,Cortometraje,Sweetnightgoodheart,2005,9,tt0329650
4,Cortometraje,Television,2005,3,tt0338491
5,Cortometraje,Candid,2005,3,tt0352227
6,Cortometraje,Deux L,2005,12,tt0359154
7,Cortometraje,Szerelem meg hal,2005,1,tt0364043
8,Cortometraje,Up,2005,4,tt0365883
9,Cortometraje,Lower East Side Stories,2005,1,tt0368848
10,Cortometraje,I en villa,2005,3,tt0369797
11,Cortometraje,Stabat mater,2005,5,tt0369990
12,Cortometraje,Blackberries,2005,5,tt0372795
13,Cortometraje,Bøje,2005,7,tt0370310
14,Cortometraje,Les amours perdus,2005,8,tt0371661
15,Cortometraje,Old Man Music,2005,10,tt0373203
16,Cortometraje,Worse,2005,3,tt0374338
17,Cortometraje,Flat Tire,2005,12,tt0374655
18,Cortometraje,Adjusting Arbie,2005,-,tt0376487
19,Cortometraje,Ashes,2005,10,tt0387036
20,Cortometraje,Bondefanget,2005,12,tt0392787
21,Cortometraje,I Hate You,2005,5,tt0395589
22,Cortometraje,Far-vel,2005,2,tt0400427
23,Cortometraje,A Thousand Roads,2005,1,tt0407254
24,Cortometraje,Glashus,2005,2,tt0407826
25,Cortometraje,Lille Lise,2005,12,tt0407947
26,Cortometraje,Voodoo Doll,2005,3,tt0418303
27,Cortometraje,The Boss,2005,6,tt0420529
28,Cortometraje,Starcrossed,2005,4,tt0420931
29,Cortometraje,I?,2005,-,tt0421209
30,Cortometraje,Elephant Boy,2005,4,tt0432279
31,Cortometraje,Sommerfuglekvinden,2005,3,tt0432078
32,Cortometraje,Sleeping Dogs Lie,2005,2,tt0431405
33,Cortometraje,Deadline,2005,6,tt0431718
34,Cortometraje,Morfium,2005,-,tt0431920
35,Cortometraje,Before Dawn,2005,5,tt0434067
36,Cortometraje,Green Bush,2005,1,tt0436369
37,Cortometraje,20 Minutes,2005,9,tt0436011
38,Cortometraje,Danmarks sjoveste mand,2005,6,tt0437146
39,Cortometraje,Encore,2005,5,tt0438002
40,Cortometraje,Eating,2005,1,tt0437994
41,Cortometraje,Flutter Kick,2005,1,tt0438031
